Household_ID,Date,Energy_Consumption_kWh,Household_Size,Avg_Temperature_C,Has_AC,Peak_Hours_Usage_kWh
H00019,2025-04-01,7.4,2,13.8,Yes,3.6
H00019,2025-04-02,7.7,2,22.1,Yes,3.6
H00019,2025-04-03,5.8,2,14.7,Yes,2.5
H00019,2025-04-04,9.7,2,18.5,Yes,4.1
H00019,2025-04-05,9.9,2,16.1,Yes,4.7
H00019,2025-04-06,7.8,2,17.7,Yes,3.5
H00019,2025-04-07,7.1,2,18.4,Yes,3.2
H00020,2025-04-01,9.4,4,18.0,No,3.1
H00020,2025-04-02,9.8,4,13.0,No,3.6
H00020,2025-04-03,11.1,4,20.2,No,3.6
H00020,2025-04-04,10.0,4,15.3,No,3.7
H00020,2025-04-05,11.0,4,18.9,No,3.7
H00020,2025-04-06,11.1,4,17.7,No,4.0
H00020,2025-04-07,12.9,4,19.3,No,5.0
H00021,2025-04-01,18.7,5,19.5,Yes,8.6
H00021,2025-04-02,20.0,5,20.4,Yes,10.0
H00021,2025-04-03,16.8,5,17.2,Yes,7.1
H00021,2025-04-04,19.3,5,20.4,Yes,9.6
H00021,2025-04-05,18.4,5,21.1,Yes,9.0
H00021,2025-04-06,18.7,5,14.7,Yes,8.6
H00021,2025-04-07,18.9,5,19.6,Yes,7.9
H00022,2025-04-01,3.4,1,16.8,Yes,1.5
H00022,2025-04-02,7.1,1,21.8,Yes,3.0
H00022,2025-04-03,0.5,1,14.5,Yes,0.2
H00022,2025-04-04,5.8,1,14.7,Yes,2.6
H00022,2025-04-05,2.5,1,14.5,Yes,1.1
H00022,2025-04-06,5.8,1,20.3,Yes,2.8
H00022,2025-04-07,3.7,1,20.8,Yes,1.5
H00023,2025-04-01,15.1,4,21.1,Yes,7.0
H00023,2025-04-02,15.0,4,22.9,Yes,7.4
H00023,2025-04-03,15.6,4,20.9,Yes,7.8
H00023,2025-04-04,17.4,4,19.0,Yes,7.0
H00023,2025-04-05,12.0,4,20.1,Yes,5.8
H00023,2025-04-06,14.7,4,18.9,Yes,6.3
H00023,2025-04-07,16.6,4,16.2,Yes,7.4
H00024,2025-04-01,8.6,2,15.9,Yes,3.5
H00024,2025-04-02,11.6,2,24.2,Yes,5.6
H00024,2025-04-03,9.6,2,21.7,Yes,4.8
H00024,2025-04-04,7.9,2,17.8,Yes,3.6
H00024,2025-04-05,5.7,2,16.6,Yes,2.6
H00024,2025-04-06,10.0,2,19.6,Yes,4.7
H00024,2025-04-07,7.6,2,21.6,Yes,3.1
H00025,2025-04-01,14.5,6,16.7,No,5.7
H00025,2025-04-02,12.6,6,17.0,No,5.0
H00025,2025-04-03,15.6,6,14.1,No,5.1
H00025,2025-04-04,16.2,6,17.2,No,5.8
H00025,2025-04-05,13.9,6,12.0,No,4.5
H00025,2025-04-06,16.5,6,20.3,No,5.4
H00025,2025-04-07,15.6,6,18.7,No,6.1
H00026,2025-04-01,11.2,5,16.3,No,4.3
H00026,2025-04-02,13.7,5,16.6,No,4.7
H00026,2025-04-03,12.2,5,20.4,No,4.1
H00026,2025-04-04,13.8,5,18.1,No,4.9
H00026,2025-04-05,11.3,5,14.6,No,4.1
H00026,2025-04-06,12.3,5,19.7,No,4.3
H00026,2025-04-07,13.1,5,10.9,No,4.9
H00027,2025-04-01,13.2,4,13.5,Yes,6.4
H00027,2025-04-02,17.8,4,21.4,Yes,8.2
H00027,2025-04-03,15.7,4,15.1,Yes,6.3
H00027,2025-04-04,14.7,4,16.8,Yes,6.9
H00027,2025-04-05,13.3,4,17.0,Yes,5.4
H00027,2025-04-06,16.0,4,22.9,Yes,6.7
H00027,2025-04-07,14.5,4,19.1,Yes,6.5
H00028,2025-04-01,4.0,1,17.8,Yes,1.9
H00028,2025-04-02,4.1,1,17.2,Yes,1.7
H00028,2025-04-03,4.8,1,17.5,Yes,2.1
H00028,2025-04-04,1.7,1,12.9,Yes,0.7
H00028,2025-04-05,2.5,1,15.0,Yes,1.0
H00028,2025-04-06,4.7,1,19.2,Yes,2.1
H00028,2025-04-07,2.8,1,15.4,Yes,1.4
H00029,2025-04-01,4.3,1,17.3,Yes,1.8
H00029,2025-04-02,5.4,1,20.9,Yes,2.4
H00029,2025-04-03,6.0,1,21.0,Yes,3.0
H00029,2025-04-04,3.7,1,21.3,Yes,1.7
H00029,2025-04-05,4.8,1,22.3,Yes,2.1
H00029,2025-04-06,2.4,1,17.4,Yes,1.1
H00029,2025-04-07,1.6,1,16.3,Yes,0.7
H00030,2025-04-01,8.0,3,12.7,No,2.8
H00030,2025-04-02,9.3,3,19.0,No,3.1
H00030,2025-04-03,7.1,3,12.2,No,2.6
H00030,2025-04-04,8.9,3,16.7,No,3.0
H00030,2025-04-05,7.3,3,19.5,No,2.7
H00030,2025-04-06,6.6,3,15.7,No,2.1
H00030,2025-04-07,6.4,3,15.3,No,2.3
H00031,2025-04-01,6.1,3,16.8,No,2.2
H00031,2025-04-02,7.3,3,16.6,No,2.2
H00031,2025-04-03,7.8,3,16.2,No,2.6
H00031,2025-04-04,5.0,3,18.9,No,1.8
H00031,2025-04-05,7.2,3,12.6,No,2.3
H00031,2025-04-06,8.0,3,18.9,No,3.2
H00031,2025-04-07,6.2,3,19.6,No,1.9
H00032,2025-04-01,6.9,2,13.9,No,2.6
H00032,2025-04-02,6.4,2,16.6,No,2.3
H00032,2025-04-03,3.6,2,17.0,No,1.2
H00032,2025-04-04,3.5,2,18.5,No,1.4
H00032,2025-04-05,4.3,2,18.6,No,1.4
H00032,2025-04-06,5.7,2,18.0,No,2.1
H00032,2025-04-07,3.8,2,17.9,No,1.5
H00033,2025-04-01,11.4,4,21.3,No,3.5
H00033,2025-04-02,9.6,4,15.4,No,3.6
H00033,2025-04-03,11.7,4,18.2,No,3.7
H00033,2025-04-04,11.0,4,22.6,No,4.2
H00033,2025-04-05,9.7,4,14.9,No,3.8
H00033,2025-04-06,11.3,4,23.0,No,4.4
H00033,2025-04-07,11.1,4,17.8,No,3.7
H00034,2025-04-01,6.9,4,20.9,No,2.4
H00034,2025-04-02,11.5,4,17.4,No,4.4
H00034,2025-04-03,10.5,4,18.4,No,3.9
H00034,2025-04-04,11.6,4,16.7,No,3.6
H00034,2025-04-05,11.8,4,17.5,No,3.7
H00034,2025-04-06,11.5,4,19.6,No,3.7
H00034,2025-04-07,11.1,4,16.3,No,4.2
H00035,2025-04-01,20.0,6,21.9,Yes,8.8
H00035,2025-04-02,20.0,6,20.0,Yes,8.1
H00035,2025-04-03,20.0,6,17.6,Yes,8.9
H00035,2025-04-04,20.0,6,15.2,Yes,9.0
H00035,2025-04-05,20.0,6,16.3,Yes,9.3
H00035,2025-04-06,19.3,6,17.1,Yes,9.6
H00035,2025-04-07,20.0,6,18.8,Yes,9.2
H00036,2025-04-01,20.0,6,22.5,Yes,9.0
H00036,2025-04-02,20.0,6,16.5,Yes,8.8
H00036,2025-04-03,20.0,6,16.8,Yes,8.8
H00036,2025-04-04,20.0,6,22.7,Yes,8.5
H00036,2025-04-05,20.0,6,13.2,Yes,9.5
H00036,2025-04-06,20.0,6,16.3,Yes,8.9
H00036,2025-04-07,19.3,6,19.8,Yes,9.2
H00037,2025-04-01,15.3,6,17.8,No,5.6
H00037,2025-04-02,13.9,6,23.3,No,4.3
H00037,2025-04-03,16.5,6,17.8,No,5.0
H00037,2025-04-04,16.3,6,17.4,No,6.3
H00037,2025-04-05,15.5,6,18.2,No,4.7
H00037,2025-04-06,14.5,6,18.8,No,5.6
H00037,2025-04-07,12.6,6,11.8,No,4.0
H00038,2025-04-01,5.9,3,18.9,No,1.9
H00038,2025-04-02,7.2,3,17.5,No,2.5
H00038,2025-04-03,5.6,3,17.4,No,1.9
H00038,2025-04-04,7.9,3,17.7,No,2.5
H00038,2025-04-05,6.6,3,17.6,No,2.1
H00038,2025-04-06,6.3,3,14.9,No,2.3
H00038,2025-04-07,7.7,3,15.5,No,2.7
H00039,2025-04-01,11.4,4,18.0,No,4.5
H00039,2025-04-02,12.9,4,19.8,No,4.5
H00039,2025-04-03,10.4,4,15.7,No,3.1
H00039,2025-04-04,9.2,4,17.8,No,3.3
H00039,2025-04-05,10.0,4,12.6,No,3.5
H00039,2025-04-06,10.0,4,16.5,No,3.3
H00039,2025-04-07,9.4,4,19.3,No,3.4
H00040,2025-04-01,9.6,4,13.8,No,3.6
H00040,2025-04-02,10.5,4,17.0,No,3.3
H00040,2025-04-03,11.5,4,15.4,No,3.9
H00040,2025-04-04,9.5,4,20.1,No,3.6
H00040,2025-04-05,10.9,4,13.5,No,4.3
H00040,2025-04-06,10.1,4,18.0,No,3.6
H00040,2025-04-07,10.7,4,18.7,No,3.6
H00041,2025-04-01,2.6,1,20.6,Yes,1.2
H00041,2025-04-02,4.8,1,18.8,Yes,2.2
H00041,2025-04-03,5.1,1,16.1,Yes,2.2
H00041,2025-04-04,3.8,1,22.1,Yes,1.6
H00041,2025-04-05,5.9,1,15.1,Yes,2.8
H00041,2025-04-06,3.7,1,17.7,Yes,1.7
H00041,2025-04-07,4.4,1,17.8,Yes,2.1
H00042,2025-04-01,8.5,3,18.2,No,2.8
H00042,2025-04-02,8.4,3,18.4,No,2.9
H00042,2025-04-03,8.1,3,19.3,No,3.2
H00042,2025-04-04,8.0,3,17.2,No,2.7
H00042,2025-04-05,6.8,3,16.8,No,2.6
H00042,2025-04-06,5.2,3,20.8,No,1.9
H00042,2025-04-07,8.3,3,16.0,No,2.7
H00043,2025-04-01,11.3,5,12.3,No,4.5
H00043,2025-04-02,14.4,5,17.3,No,5.6
H00043,2025-04-03,11.6,5,20.4,No,3.7
H00043,2025-04-04,14.8,5,16.9,No,4.6
H00043,2025-04-05,10.2,5,15.8,No,3.8
H00043,2025-04-06,11.6,5,18.0,No,4.3
H00043,2025-04-07,13.6,5,20.5,No,4.3
H00044,2025-04-01,11.5,3,19.1,Yes,5.3
H00044,2025-04-02,12.8,3,21.1,Yes,5.5
H00044,2025-04-03,11.6,3,18.8,Yes,4.7
H00044,2025-04-04,11.5,3,16.7,Yes,5.1
H00044,2025-04-05,11.6,3,18.2,Yes,5.7
H00044,2025-04-06,12.0,3,17.3,Yes,5.6
H00044,2025-04-07,8.7,3,13.5,Yes,3.9
H00045,2025-04-01,15.0,5,17.5,No,5.7
H00045,2025-04-02,15.5,5,15.1,No,5.4
H00045,2025-04-03,14.5,5,18.0,No,5.6
H00045,2025-04-04,15.1,5,18.6,No,5.7
H00045,2025-04-05,11.3,5,17.2,No,3.6
H00045,2025-04-06,13.0,5,17.6,No,4.8
H00045,2025-04-07,10.7,5,15.1,No,3.6
H00046,2025-04-01,5.3,1,16.9,No,1.9
H00046,2025-04-02,3.2,1,21.1,No,1.0
H00046,2025-04-03,4.7,1,18.3,No,1.7
H00046,2025-04-04,0.5,1,15.2,No,0.2
H00046,2025-04-05,3.1,1,17.5,No,1.2
H00046,2025-04-06,2.4,1,13.7,No,0.8
H00046,2025-04-07,3.7,1,18.9,No,1.3
H00047,2025-04-01,6.9,2,19.8,Yes,3.1
H00047,2025-04-02,5.3,2,17.5,Yes,2.5
H00047,2025-04-03,7.0,2,13.5,Yes,3.4
H00047,2025-04-04,6.3,2,18.6,Yes,2.7
H00047,2025-04-05,7.5,2,18.8,Yes,3.2
H00047,2025-04-06,8.7,2,23.1,Yes,3.8
H00047,2025-04-07,7.6,2,16.5,Yes,3.7
H00048,2025-04-01,15.2,4,17.0,Yes,6.7
H00048,2025-04-02,14.8,4,16.0,Yes,6.4
H00048,2025-04-03,12.9,4,17.2,Yes,5.9
H00048,2025-04-04,17.0,4,15.6,Yes,6.9
H00048,2025-04-05,11.1,4,21.8,Yes,5.4
H00048,2025-04-06,14.6,4,16.6,Yes,6.2
H00048,2025-04-07,13.6,4,15.7,Yes,6.1
H00049,2025-04-01,4.5,1,17.5,Yes,2.2
H00049,2025-04-02,5.1,1,19.7,Yes,2.2
H00049,2025-04-03,4.7,1,18.7,Yes,2.0
H00049,2025-04-04,4.0,1,18.0,Yes,1.9
H00049,2025-04-05,1.7,1,18.8,Yes,0.7
H00049,2025-04-06,3.3,1,12.0,Yes,1.4
H00049,2025-04-07,5.6,1,20.2,Yes,2.7
H00050,2025-04-01,9.5,4,18.3,No,3.1
H00050,2025-04-02,9.8,4,19.7,No,3.4
H00050,2025-04-03,9.4,4,16.4,No,3.3
H00050,2025-04-04,10.4,4,18.4,No,3.9
H00050,2025-04-05,11.0,4,17.1,No,4.3
H00050,2025-04-06,9.4,4,18.0,No,3.5
H00050,2025-04-07,6.9,4,20.0,No,2.3
H00051,2025-04-01,20.0,6,15.9,Yes,8.4
H00051,2025-04-02,20.0,6,19.7,Yes,9.8
H00051,2025-04-03,19.8,6,15.5,Yes,8.1
H00051,2025-04-04,19.5,6,21.0,Yes,8.9
H00051,2025-04-05,20.0,6,12.4,Yes,9.4
H00051,2025-04-06,20.0,6,16.3,Yes,8.2
H00051,2025-04-07,20.0,6,15.6,Yes,8.9
H00052,2025-04-01,3.2,2,17.2,No,1.0
H00052,2025-04-02,5.3,2,14.4,No,1.6
H00052,2025-04-03,6.2,2,18.5,No,1.9
H00052,2025-04-04,7.4,2,20.2,No,2.6
H00052,2025-04-05,4.7,2,19.9,No,1.5
H00052,2025-04-06,3.5,2,13.4,No,1.3
H00052,2025-04-07,6.2,2,20.1,No,2.5
H00053,2025-04-01,5.3,2,18.3,No,2.1
H00053,2025-04-02,5.0,2,17.0,No,1.5
H00053,2025-04-03,7.3,2,11.9,No,2.5
H00053,2025-04-04,4.7,2,19.4,No,1.6
H00053,2025-04-05,5.0,2,10.0,No,1.9
H00053,2025-04-06,6.8,2,15.0,No,2.1
H00053,2025-04-07,4.4,2,16.0,No,1.5
H00054,2025-04-01,2.4,1,19.4,Yes,1.2
H00054,2025-04-02,4.6,1,18.7,Yes,2.2
H00054,2025-04-03,6.1,1,16.0,Yes,2.6
H00054,2025-04-04,3.9,1,16.9,Yes,1.8
H00054,2025-04-05,6.1,1,17.7,Yes,2.9
H00054,2025-04-06,5.3,1,17.7,Yes,2.4
H00054,2025-04-07,1.9,1,15.0,Yes,0.9
H00055,2025-04-01,4.7,2,14.4,No,1.5
H00055,2025-04-02,2.1,2,11.3,No,0.8
H00055,2025-04-03,4.9,2,14.6,No,1.7
H00055,2025-04-04,7.5,2,19.6,No,2.8
H00055,2025-04-05,5.5,2,20.1,No,1.8
H00055,2025-04-06,6.1,2,19.6,No,2.1
H00055,2025-04-07,3.3,2,21.4,No,1.0
H00056,2025-04-01,10.9,5,18.9,No,3.4
H00056,2025-04-02,13.2,5,20.4,No,5.1
H00056,2025-04-03,11.8,5,19.2,No,3.8
H00056,2025-04-04,9.4,5,21.0,No,3.5
H00056,2025-04-05,14.3,5,13.5,No,5.4
H00056,2025-04-06,13.5,5,14.5,No,4.3
H00056,2025-04-07,15.7,5,15.5,No,5.0
H00057,2025-04-01,5.4,2,14.5,Yes,2.2
H00057,2025-04-02,8.7,2,21.4,Yes,4.0
H00057,2025-04-03,7.6,2,17.1,Yes,3.4
H00057,2025-04-04,9.8,2,21.5,Yes,4.6
H00057,2025-04-05,9.9,2,19.6,Yes,4.0
H00057,2025-04-06,9.5,2,20.2,Yes,4.7
H00057,2025-04-07,9.7,2,20.2,Yes,4.4
H00058,2025-04-01,16.7,4,18.8,Yes,6.8
H00058,2025-04-02,16.5,4,19.9,Yes,7.9
H00058,2025-04-03,13.4,4,18.4,Yes,5.8
H00058,2025-04-04,15.3,4,15.5,Yes,7.2
H00058,2025-04-05,14.5,4,15.4,Yes,6.8
H00058,2025-04-06,14.0,4,19.2,Yes,6.1
H00058,2025-04-07,14.9,4,17.8,Yes,6.1
H00059,2025-04-01,8.5,4,13.2,No,3.2
H00059,2025-04-02,8.8,4,21.7,No,3.2
H00059,2025-04-03,9.2,4,21.6,No,3.5
H00059,2025-04-04,8.2,4,14.8,No,2.8
H00059,2025-04-05,8.1,4,17.5,No,3.0
H00059,2025-04-06,9.9,4,22.8,No,3.1
H00059,2025-04-07,10.4,4,19.8,No,3.3
H00060,2025-04-01,10.3,4,16.8,No,3.5
H00060,2025-04-02,7.4,4,19.6,No,2.4
H00060,2025-04-03,12.1,4,14.1,No,4.7
H00060,2025-04-04,10.9,4,14.4,No,3.6
H00060,2025-04-05,11.6,4,16.6,No,4.1
H00060,2025-04-06,11.9,4,14.2,No,3.9
H00060,2025-04-07,9.8,4,13.8,No,3.2
H00061,2025-04-01,13.9,4,17.1,Yes,6.0
H00061,2025-04-02,15.3,4,17.7,Yes,7.3
H00061,2025-04-03,16.5,4,18.6,Yes,6.9
H00061,2025-04-04,11.5,4,19.9,Yes,5.6
H00061,2025-04-05,13.6,4,17.8,Yes,6.4
H00061,2025-04-06,13.4,4,19.9,Yes,6.4
H00061,2025-04-07,15.8,4,19.5,Yes,7.7
H00062,2025-04-01,18.8,5,15.9,Yes,7.6
H00062,2025-04-02,18.0,5,20.5,Yes,7.4
H00062,2025-04-03,16.7,5,16.7,Yes,6.8
H00062,2025-04-04,18.8,5,15.5,Yes,8.5
H00062,2025-04-05,16.4,5,16.0,Yes,7.4
H00062,2025-04-06,18.2,5,16.4,Yes,7.8
H00062,2025-04-07,19.1,5,17.2,Yes,9.4
H00063,2025-04-01,11.4,3,17.5,Yes,4.9
H00063,2025-04-02,11.4,3,16.2,Yes,4.8
H00063,2025-04-03,13.0,3,16.7,Yes,5.5
H00063,2025-04-04,12.9,3,20.7,Yes,5.3
H00063,2025-04-05,9.5,3,15.2,Yes,4.1
H00063,2025-04-06,12.8,3,19.5,Yes,6.0
H00063,2025-04-07,9.3,3,15.7,Yes,3.9
H00064,2025-04-01,14.8,6,15.7,No,5.5
H00064,2025-04-02,17.1,6,18.4,No,5.3
H00064,2025-04-03,13.6,6,19.1,No,5.2
H00064,2025-04-04,15.7,6,12.6,No,5.4
H00064,2025-04-05,15.5,6,11.2,No,6.1
H00064,2025-04-06,16.2,6,15.4,No,5.8
H00064,2025-04-07,15.6,6,15.5,No,5.3
H00065,2025-04-01,5.4,1,17.9,Yes,2.3
H00065,2025-04-02,2.4,1,17.6,Yes,1.1
H00065,2025-04-03,2.4,1,20.4,Yes,1.0
H00065,2025-04-04,2.4,1,17.9,Yes,1.0
H00065,2025-04-05,5.9,1,15.0,Yes,2.6
H00065,2025-04-06,6.4,1,17.5,Yes,3.0
H00065,2025-04-07,5.5,1,24.0,Yes,2.6
H00066,2025-04-01,12.2,4,21.4,No,4.6
H00066,2025-04-02,10.8,4,17.1,No,3.9
H00066,2025-04-03,9.0,4,16.9,No,3.1
H00066,2025-04-04,11.9,4,17.6,No,4.4
H00066,2025-04-05,9.4,4,17.4,No,3.7
H00066,2025-04-06,9.1,4,21.9,No,3.2
H00066,2025-04-07,9.3,4,22.5,No,3.0
H00067,2025-04-01,5.7,2,15.9,No,1.9
H00067,2025-04-02,5.7,2,20.0,No,2.2
H00067,2025-04-03,7.0,2,15.3,No,2.2
H00067,2025-04-04,4.5,2,18.6,No,1.7
H00067,2025-04-05,5.8,2,22.8,No,2.1
H00067,2025-04-06,6.0,2,20.6,No,2.0
H00067,2025-04-07,4.2,2,16.2,No,1.3
H00068,2025-04-01,13.8,4,15.7,Yes,5.9
H00068,2025-04-02,15.3,4,19.6,Yes,7.4
H00068,2025-04-03,13.6,4,16.0,Yes,5.7
H00068,2025-04-04,15.2,4,17.6,Yes,6.4
H00068,2025-04-05,16.0,4,16.6,Yes,7.8
H00068,2025-04-06,12.0,4,15.9,Yes,5.4
H00068,2025-04-07,14.6,4,13.9,Yes,6.4
H00069,2025-04-01,5.5,2,17.7,No,2.1
H00069,2025-04-02,1.3,2,21.4,No,0.4
H00069,2025-04-03,5.7,2,19.5,No,2.0
H00069,2025-04-04,4.6,2,12.2,No,1.5
H00069,2025-04-05,5.6,2,17.1,No,2.1
H00069,2025-04-06,6.0,2,19.8,No,2.4
H00069,2025-04-07,5.4,2,19.5,No,1.7
H00070,2025-04-01,20.0,6,20.7,Yes,8.5
H00070,2025-04-02,20.0,6,19.6,Yes,9.7
H00070,2025-04-03,20.0,6,20.3,Yes,8.6
H00070,2025-04-04,20.0,6,16.8,Yes,9.2
H00070,2025-04-05,20.0,6,14.6,Yes,8.4
H00070,2025-04-06,20.0,6,18.0,Yes,9.7
H00070,2025-04-07,20.0,6,21.7,Yes,8.3
H00071,2025-04-01,13.8,6,15.2,No,4.7
H00071,2025-04-02,13.2,6,15.9,No,4.9
H00071,2025-04-03,15.3,6,15.7,No,5.6
H00071,2025-04-04,14.9,6,19.4,No,4.9
H00071,2025-04-05,16.4,6,19.9,No,5.3
H00071,2025-04-06,16.4,6,17.4,No,6.0
